#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Was fouled,Fouls,Total duels won %
1,,Antoine Griezmann,0.05,0,45.16,1.08,0.58,50.15
2,,Leo Román,0,0,0,0,0,0
3,,Karim Benzema,0.04,0,51.85,0.25,0.42,37.98
4,,Toni Kroos,0,0.03,63.64,1.2,0.93,50.99
5,,Aleix García,0.03,0,68.42,0.97,0.47,60.93
6,,David Gil,0,0,0,0,0,0
7,,Robert Lewandowski,0.06,0.03,53.06,1.35,1.15,47.23
8,,Gerónimo Rulli,0.07,0,100,0.07,0,100
9,,Pedri,0.08,0,37.5,1.65,0.31,55.5
10,,Raphinha,0.22,0,60.87,1.03,0.61,49.8
11,,Federico Valverde,0.06,0,73.81,0.44,0.32,67.5
12,,Dani Parejo,0.16,0,44.74,2.03,0.81,58.01
13,,Frenkie de Jong,0.09,0,68.09,1.03,1,56.32
14,,Éder Militão,0.12,0,64,1.15,1.06,64.9
15,,Sergio Busquets,0.2,0.03,47.79,1.33,1.03,56.25
16,,Marco Asensio,0.03,0,60,0.52,0.32,59.18
17,,Rodrigo de Paul,0.17,0,46.67,1.63,1.1,56.99
18,,Félix Garreta,0,0,50,1,2,50
19,,Iago Aspas,0.11,0,40.79,1.59,0.43,44.44
20,,Jordi Alba,0.17,0.04,34.78,0.17,0.46,43.62
21,,Ousmane Dembélé,0.16,0,25,0.76,0.64,47
22,,Sergi Darder,0.11,0,46.15,2.05,0.82,57.76
23,,Jeremías Ledesma,0.06,0,76.92,0.21,0.03,73.33
24,,José María Giménez,0.32,0,65.79,0.29,0.68,64.85
25,,José Luis Gayà,0.13,0,53.33,0.87,0.42,64.2
26,,Marc-André ter Stegen,0,0,87.5,0.05,0,80
27,,Claudio Bravo,0.17,0,100,0,0,100
28,,Enes Ünal,0.17,0,49.38,2.2,1.74,47.95
29,,Gerard Piqué,0.5,0.17,76.92,0.33,1.17,66.67
30,,Thibaut Courtois,0,0,100,0.1,0,100
31,,Gerard Gumbau,0.31,0,42.31,0.6,1.46,41.23
32,,Aurélien Tchouaméni,0.06,0,66.67,1.06,1.06,65.54
33,,Kang-in Lee,0.28,0,28.4,1.69,1.42,48.76
34,,Lucas Robertone,0.19,0,36.84,2.41,0.89,55.03
35,,Mikel Merino,0.18,0.03,65.7,1.45,2.24,54.64
36,,Rodrygo,0.12,0,37.84,1.44,0.53,50.47
37,,David López,0.25,0,47.54,0.8,0.8,59.42
38,,Jules Koundé,0.07,0,65.15,0.41,0.76,56.91
39,,Jorge Pascual,0,0,0,0,0.5,0
40,,Alvaro Aceves Catalina,0,0,50,0,0,50
41,,Giovani Lo Celso,0.14,0,28.57,1.41,0.68,57.24
42,,Joselu,0.09,0,61.92,2.06,0.68,57.05
43,,Moi Gómez,0.15,0,21.88,0.79,0.42,50.29
44,,Antonio Raíllo,0.35,0.03,63.89,0.68,1.35,59.84
45,,Guido Rodríguez,0.24,0,49.45,1.88,1.32,59.61
46,,Carlos Soler,0,0,50,1.33,0.67,61.54
47,,Aitor Fernández,0.05,0,75,0,0,66.67
48,,Gonzalo Escalante,0.29,0,49.09,1.21,1,56.58
49,,Jordi Masip,0.14,0,77.78,0.18,0,75
50,,Loïc Badé,0.21,0,55.74,0.21,0.68,55.91
51,,Vinícius Júnior,0.3,0,25,3.7,1.42,47.76
52,,Andreas Christensen,0.09,0,68.85,0.3,0.78,60
53,,Brais Méndez,0.18,0,45.45,1.59,1.76,44.31
54,,Pau Torres,0.29,0,55.14,0.5,0.59,61.18
55,,Isi Palazón,0.11,0,26.32,2.81,1,45.44
56,,Takefusa Kubo,0.09,0,39.02,1.37,1,47.87
57,,Lucas Vázquez,0.09,0,16.67,0.7,1,58.04
58,,Ronald Araújo,0.27,0.05,62.16,0.77,0.73,64.71
59,,Nicolas Jackson,0.15,0.04,30.23,1,1.23,40
60,,Reinildo Mandava,0.18,0,60,1.36,1.45,61.21
61,,Marcos Acuña,0.3,0.1,62.5,1.13,1.07,58.8
62,,Vedat Muriqi,0.17,0.03,55.9,1.11,1.69,48.24
63,,Viktor Tsygankov,0,0,35,1.11,0.42,47.32
64,,Juan Foyth,0.25,0,62.07,0.38,1.67,56.86
65,,David Silva,0.14,0,45.45,1.18,1.07,51.58
66,,Carlos García,0,0,100,0,0,100
67,,Marko Dmitrović,0.13,0,100,0.07,0,100
68,,Iñigo Martínez,0.07,0,57.78,0.67,0.87,59.34
69,,Iker Muniain,0.07,0,18.75,2.07,0.43,60.98
70,,Álex Remiro,0.03,0,87.5,0.11,0,80
71,,Álvaro García,0.2,0,60,0.94,1.03,52.04
72,,Sergio Canales,0.06,0.06,35.14,1.03,0.29,46.67
73,,Édgar Badía,0.06,0,90,0.17,0.03,84.21
74,,Marcos Llorente,0.23,0,34.48,0.59,1.36,44.08
75,,Geoffrey Kondogbia,0.25,0,56.52,0.95,0.85,61.79
76,,Juan Miranda,0.05,0.05,55.26,0.95,0.71,54.48
77,,João Félix,0.36,0,43.75,1.64,1.14,46
78,,David Soria,0.08,0,100,0.08,0.03,77.78
79,,Yeray Álvarez,0.25,0.04,58.76,0.79,0.79,62.57
80,,Yuri Berchiche,0.24,0.03,66.23,1.14,1.07,58.69
81,,Gabri Veiga,0.17,0.03,52.78,1.14,1.17,49.13
82,,Nemanja Gudelj,0.24,0,66.2,0.62,0.76,63.33
83,,Gerard Moreno,0.14,0,51.35,0.67,0.52,51.41
84,,Iza Carcelén,0.15,0.11,39.62,1,0.59,58.74
85,,Luka Modrić,0.21,0,44,0.48,0.64,42.21
86,,José Copete,0.25,0.04,70.91,0.86,1.68,62.5
87,,Luis Milla,0.15,0.04,47.22,0.81,1.07,53.8
88,,Raúl Albiol,0.24,0,61.54,0.52,0.68,59.7
89,,André Almeida,0.09,0,32.56,1.18,0.91,49.11
90,,Mario Hermoso,0.12,0.08,56.45,0.5,1.04,47.98
91,,Anuar,0.33,0,28.57,2,1,53.85
92,,Héctor Bellerín,0,0,100,0,0.67,66.67
93,,David García,0.25,0.03,70.25,0.47,1.69,59.31
94,,Rui Silva,0.08,0,87.5,0.08,0,92.86
95,,Sergi Roberto,0.13,0,36.84,0.52,0.83,48.94
96,,Dani Ceballos,0.27,0,33.33,1.37,0.57,53.33
97,,Suso,0.04,0,30,0.76,0.52,49.61
98,,William Carvalho,0.18,0.03,54.24,1.21,0.88,53.76
99,,Jan Oblak,0.04,0,100,0.11,0,100
100,,Robin Le Normand,0.18,0,73.65,0.88,1.33,63.18
101,,Adrián Embarba,0.1,0.03,20.51,1.03,0.77,45.57
102,,Fernando Martínez,0.08,0,66.67,0.16,0,75
103,,Eric García,0.13,0,60.53,0.33,0.75,55.34
104,,Ivo Grbić,0.25,0,80,0.08,0.08,71.43
105,,Alejandro Baena,0.31,0.03,7.14,1.6,1.66,39.72
106,,Alex Collado,0.07,0,38.46,0.67,0.6,54.46
107,,Omar Mascarell,0.21,0,56.25,0.61,0.75,55.14
108,,Samuel Chukwueze,0.03,0,41.18,0.92,0.51,48.68
109,,Unai Núñez,0.22,0,57.26,0.86,0.69,61.87
110,,José Gragera,0.22,0,57.14,0.67,1.56,56.92
111,,Eray Cömert,0.22,0.04,57.89,0.48,0.96,57.5
112,,Martín Zubimendi,0.33,0,63.74,0.86,1.39,54.9
113,,Monchu,0.3,0,36,0.85,1.39,46.7
114,,Álvaro Aguado,0.09,0,46.88,0.97,0.38,60.69
115,,Alejandro Catena,0.34,0.03,68.38,0.43,0.91,58.6
116,,Youssouf Sabaly,0.09,0,31.25,1.43,0.87,56.04
117,,Luis Hernández,0.17,0.03,63.49,0.2,0.77,55.7
118,,Fernando Medrano,0,0,0,0,1,66.67
119,,Paulo Gazzaniga,0.14,0,100,0.21,0,78.57
120,,Germán Pezzella,0.13,0.1,70.19,0.55,0.87,64.9
121,,Marcos Alonso,0.13,0,72.22,0.33,0.42,68
122,,Aridane Hernández,0.04,0,67.39,0.52,0.61,60.53
123,,Álex Berenguer,0.05,0,44.87,0.68,1.3,42.7
124,,Álvaro Morata,0.11,0,59.57,1.56,1.08,54.92
125,,Iñaki Williams,0.06,0,45.71,0.86,0.86,43.56
126,,Thierry Correia,0.22,0,54.55,1.63,1.44,58.69
127,,Mauro Arambarri,0.23,0.08,55.56,0.85,1.62,46.81
128,,Samuel Lino,0.11,0,29.31,1.58,0.92,46.56
129,,Oriol Romeu,0.24,0.03,45.88,1,1.79,50.94
130,,Cyle Larin,0.21,0,42.31,1.32,1.21,39.19
131,,Edu Expósito,0.11,0.04,53.85,1.04,0.5,61.11
132,,Alejandro Balde,0.12,0,51.35,0.88,0.82,53.85
133,,Martin Valjent,0.27,0,54.69,0.37,1.1,52.63
134,,Ante Budimir,0.16,0,48.28,0.74,1.55,44.57
135,,Lázaro,0.05,0,30,0.63,0.37,39.36
136,,Predrag Rajković,0.08,0,83.33,0.08,0.03,72.22
137,,Koke,0.12,0,44,0.82,0.61,50.48
138,,Yéremy Pino,0.19,0,39.34,1.47,1.81,47.58
139,,Gavi,0.28,0,54.17,2,2.06,48.3
140,,Nahuel Molina,0.21,0.03,40.74,0.48,0.67,47.76
141,,Mouctar Diakhaby,0.17,0.03,54.02,0.45,0.79,56.21
142,,Borja Iglesias,0.06,0.03,35.29,1.49,1.14,39.83
143,,Santiago Bueno,0.15,0.03,63.79,1,1.09,65.53
144,,Eduardo Camavinga,0.16,0,66.67,1.86,1.05,57.94
145,,Igor Zubeldia,0.32,0,53.1,0.32,1.42,51.6
146,,Aïssa Mandi,0.05,0,50,0.48,0.76,52.69
147,,Diego Rico,0.15,0,52.78,1.3,1.35,54.12
148,,Ivan Rakitić,0.1,0.03,50,0.87,0.52,55
149,,Étienne Capoue,0.14,0,56.82,1.46,0.64,59.9
150,,Stefan Savić,0.23,0.09,65.12,0.36,1.41,58.15
151,,Chimy Ávila,0.21,0.03,41.18,1.21,0.86,43.98
152,,David Alaba,0.13,0,57.89,0.13,0.39,53.33
153,,Memphis Depay,0.1,0,22.22,0.8,0.4,35.19
154,,Pepe Reina,0.09,0,100,0.05,0,83.33
155,,Sergio Herrera,0.18,0,50,0.24,0.06,83.33
156,,Mikel Vesga,0.14,0,57.52,0.58,1.22,49.35
157,,Antonio Rüdiger,0.03,0,62.71,0.21,0.39,58.56
158,,Chris Ramos,0.13,0,57.52,0.8,1.4,52.43
159,,Iñigo Ruiz de Galarreta,0.4,0,45.45,1.53,2,49.29
160,,Joseph Aidoo,0.11,0.03,50,0.51,0.51,57.85
161,,Javi Galán,0.16,0,57.89,1.97,1.35,55.73
162,,Brian Oliván,0.23,0,31.48,0.5,1.07,47.98
163,,Hugo Mallo,0.19,0.04,53.06,0.88,1.69,53.2
164,,Jose Antonio de la Rosa,0,0,0,2,0,77.78
165,,Rober González,0.5,0,0,2,0.5,57.14
166,,Sergio Camello,0.05,0,35.53,0.5,0.32,38.1
167,,Daniel Vivian,0.28,0.03,42.71,0.72,1.31,50.21
168,,Yannick Carrasco,0.06,0,35.71,0.6,0.69,44.81
169,,Fernando,0.14,0.05,60.61,0.41,0.77,54.55
170,,Víctor Ruiz,0,0,70.83,0.2,0.4,68.57
171,,Óscar Rodríguez,0.18,0,35.48,0.79,0.67,48.78
172,,Thomas Lemar,0.04,0,41.67,0.63,0.26,52.52
173,,Marcão,0.4,0,66.67,1.2,1,65.38
174,,Vinícius Souza,0.24,0.03,52.55,1.12,1.91,55.98
175,,Nacho Fernández,0.26,0,63.16,0.52,0.59,55.92
176,,Rodri Sánchez,0,0,14.29,1.3,0.2,52.76
177,,Nabil Fekir,0.33,0.07,42.11,2.6,1.4,50
178,,Jon Ander Olasagasti,0,0,100,1.33,0.33,83.33
179,,Diego Lopez,0,0,46.67,0.7,0.6,38.46
180,,Fernando Pacheco,0,0,80,0.24,0,80
181,,Valentin Castellanos,0.31,0,42.15,1.31,1.23,41.41
182,,Alfonso Espino,0.19,0,43.42,1,1.36,50
183,,Ansu Fati,0.08,0,31.82,0.36,0.5,38.82
184,,Jawad El Yamiq,0.08,0.04,62.69,0.36,0.52,60.47
185,,Giorgi Mamardashvili,0.08,0,90,0.08,0.03,78.57
186,,Gorka Guruzeta,0.07,0,38.16,0.47,0.93,39.09
187,,Raúl de Tomás,0.11,0,37.5,1.21,1.11,44.72
188,,Papu Gómez,0.21,0,33.33,1.16,0.32,49.46
189,,Rubén García,0.07,0,25.53,0.59,0.48,39.57
190,,Santi Comesaña,0.17,0,42.11,0.8,1.4,47.03
191,,Andrés Guardado,0.27,0,36.96,0.38,0.62,47.71
192,,Álex Moreno,0.07,0,33.33,1.27,1.13,47.33
193,,Franco Cervi,0.06,0.03,32.43,1.17,0.75,55.31
194,,Samu Castillejo,0.28,0,26.92,1.6,1.28,38.72
195,,Andriy Lunin,0,0,0,0,0,0
196,,Oihan Sancet,0.17,0.03,53.19,1.5,1.14,47.63
197,,Manu Morlanes,0.19,0.06,28,0.56,0.44,53.76
198,,Sergio Escudero,0.13,0,50,0.87,0.83,51.85
199,,Cenk Özkaçar,0.06,0,58.33,0.59,0.41,65.75
200,,Julen Agirrezabala,0,0,100,0,0,100
201,,El Bilal Touré,0,0,48.35,0.33,1.19,40.4
202,,Justin Kluivert,0.15,0,26.67,0.73,0.92,42.05
203,,Kiko Femenía,0,0,60,0.4,0.3,57.75
204,,Iván Sánchez,0,0,14.29,1.72,0.36,59.41
205,,Saúl Ñíguez,0.26,0,60.29,0.16,1.1,54.95
206,,Pablo Maffeo,0.17,0.03,60,1.29,0.91,54.59
207,,Nico Williams,0.08,0,42.55,0.97,0.64,45.21
208,,Kike Pérez,0.25,0,50.79,1.58,1.58,49.07
209,,Jesús Corona,0,0,0,1.25,0.5,45
210,,Alexander Isak,0,0,0,0,0.5,33.33
211,,Isco,0.42,0,26.32,2.83,0.92,51.18
212,,Jorge Cuenca,0.1,0,68.18,0.1,0.4,64.1
213,,Álvaro Odriozola,0,0,0,0.67,0,66.67
214,,Federico Fernández,0,0,33.33,0,0,50
215,,Dominik Greif,0,0,0,0,0,0
216,,Kike Barja,0.04,0,42.11,0.56,0.67,40.31
217,,Dani García,0.24,0,55.26,0.56,1.36,53.9
218,,Óscar de Marcos,0.19,0,52.08,0.43,1.16,47.43
219,,Jon Moncayola,0.16,0,53.13,0.46,0.95,46.27
220,,Ferran Torres,0.15,0.03,55,0.76,0.52,46.75
221,,Youssef En-Nesyri,0.13,0,39.74,0.35,0.32,40.44
222,,Omar Alderete,0.36,0,65.96,0.4,1.4,57.75
223,,Rodrigo Ely,0.22,0.03,67.24,0.39,0.69,63.5
224,,Luiz Felipe,0.13,0.13,46.27,0.43,0.43,55.17
225,,Arnau Martínez,0.33,0,59.02,2,1.09,57.36
226,,Samuel Costa,0.16,0,66.67,1.38,1.59,55.1
227,,Gabriel Paulista,0.1,0.1,58.33,0.52,0.57,59.32
228,,Unai Simón,0.06,0,100,0.03,0,100
229,,Álvaro Negredo,0,0,54.39,0.38,0.24,54.44
230,,Hugo Guillamón,0.2,0,50,1.36,1.4,46.58
231,,Pere Milla,0.23,0,46.77,1.42,0.61,49.18
232,,Fran García,0.03,0,25.93,0.68,0.58,54.61
233,,Kike Salas,0.17,0.17,60,0.17,0.67,50
234,,Paul Akouokou,0.25,0,46.15,0.33,0.58,55.77
235,,Javi Sánchez,0.34,0,50.55,0.28,1.06,53.85
236,,Álvaro Rodríguez,0,0,33.33,0,0.5,28.57
237,,Alfonso Pedraza,0.19,0,50,0.58,0.77,48.82
238,,Lucas Pérez,0.14,0,20,0.29,0.36,30.95
239,,Luis Pérez,0.11,0,30.43,0.89,0.67,59.52
240,,Domingos Duarte,0.29,0.03,60.26,0.68,1.03,58.93
241,,Jon Pacheco,0.12,0,56.6,0.65,1.06,55.66
242,,Ander Guevara,0.25,0,60,0.38,0.63,53.85
243,,Joaquín Fernández,0.15,0,64.63,0.41,0.59,64.29
244,,Asier Illarramendi,0.21,0,44.44,0.54,1.04,48.32
245,,Óscar Plano,0.09,0,40.48,1.48,0.7,50.18
246,,Lucas Torró,0.27,0,63.24,0.94,1.94,53.01
247,,Nemanja Maksimović,0.1,0,60,0.28,0.86,54.8
248,,Fran Beltrán,0.11,0,27.27,0.44,0.72,38.18
249,,Edinson Cavani,0.24,0,41.67,0.32,0.72,35.45
250,,Carlos Clerc,0.16,0,46.51,0.97,1,58.91
251,,Selim Amallah,0.29,0.14,46.67,1.14,1.43,49.4
252,,Axel Witsel,0.06,0.03,53.25,0.45,0.61,57.65
253,,Jesús Navas,0.16,0,34.88,1.03,0.22,55.71
254,,Daniel Carvajal,0.22,0.04,52.63,0.56,0.81,52.8
255,,Álex Sola,0.1,0,70,0.8,0.3,66.1
256,,Agustín Marchesín,0.16,0,100,0.21,0,87.5
257,,Zouhair Feddal,0.13,0,50,0.25,0.5,48
258,,Abdessamad Ezzalzouli,0.07,0.07,15,1.21,0.96,48.83
259,,Stole Dimitrievski,0.11,0,90,0.08,0,86.67
260,,Dani Rodríguez,0.23,0,22.92,0.94,1.4,40
261,,Juanmi Latasa,0.11,0,55.28,0.61,1.17,49.71
262,,Théo Bongonda,0.06,0,51.85,1.19,0.48,50.42
263,,Damián Suárez,0.25,0,48.39,0.61,1.54,46.73
264,,Munir El Haddadi,0.14,0,50,1.21,0.5,49.14
265,,Alexander Sørloth,0.12,0,52.63,0.47,0.94,39.05
266,,Léo Baptistão,0.25,0,40.3,0.82,1.07,44.04
267,,Joaquín,0.09,0,16.67,0.36,0.05,53.49
268,,Malcom Ares,0,0,100,1,0.25,74.07
269,,Curro,0.5,0,0,0,0.5,33.33
270,,Manu Bueno,0,0,25,1,0.5,55
271,,Jon Magunazelaia,0,0,0,0.5,0.5,37.5
272,,Williot Swedberg,0.25,0,0,0.25,0.25,71.43
273,,Lucas Rosa,0.18,0,55.56,0.65,1.12,57.36
274,,Yan Couto,0.12,0,12.5,0.6,0.48,51.11
275,,Ilaix Moriba,0.17,0.08,48.08,1.38,1.33,54.12
276,,Borja García,0.09,0,46.15,1.82,0.36,56
277,,Martin Braithwaite,0.16,0.03,44.86,1.35,0.65,47.41
278,,Íñigo Lekue,0.05,0,68,0.3,0.75,58
279,,Fali,0.24,0,50.94,0.72,0.64,56.59
280,,Joan Jordán,0.35,0,47.83,0.52,1.48,43.8
281,,Lucas Olaza,0.13,0,47.37,0.87,0.52,53.96
282,,Lisandro Magallán,0,0.07,47.22,0.36,1.07,56
