#,Team,Name,Saves,Clean sheets,Penalties faced,Goals conceded inside the box,Penalties saved,Goals conceded outside the box
1,,Antoine Griezmann,0,0.13,0,0.71,0,0.05
2,,Leo Román,4,1,0,0,0,0
3,,Karim Benzema,0,0.29,0,0.71,0,0
4,,Toni Kroos,0,0.1,0,0.77,0,0
5,,Aleix García,0,0.03,0,1.1,0,0.13
6,,David Gil,4.5,0.25,0.25,1,0,0.25
7,,Robert Lewandowski,0,0.47,0,0.5,0,0.09
8,,Gerónimo Rulli,3.29,0.5,0,0.57,0,0.14
9,,Pedri,0,0.38,0,0.27,0,0.08
10,,Raphinha,0,0.03,0,0.22,0,0.03
11,,Federico Valverde,0,0.18,0,0.71,0,0.03
12,,Dani Parejo,0,0.27,0,1,0,0.05
13,,Frenkie de Jong,0,0.33,0,0.52,0,0.09
14,,Éder Militão,0,0.3,0,0.85,0,0.03
15,,Sergio Busquets,0,0.43,0,0.3,0,0.07
16,,Marco Asensio,0,0.13,0,0.48,0,0.03
17,,Rodrigo de Paul,0,0.03,0,0.63,0,0.03
18,,Félix Garreta,0,1,0,0,0,0
19,,Iago Aspas,0,0.16,0,0.97,0,0.27
20,,Jordi Alba,0,0.17,0,0.29,0,0.04
21,,Ousmane Dembélé,0,0.12,0,0.32,0,0.12
22,,Sergi Darder,0,0.16,0,1.53,0,0.16
23,,Jeremías Ledesma,3.97,0.35,0.26,1.21,0.03,0.21
24,,José María Giménez,0,0.36,0,0.61,0,0.14
25,,José Luis Gayà,0,0.1,0,1.1,0,0.1
26,,Marc-André ter Stegen,2.21,0.68,0.08,0.42,0,0.05
27,,Claudio Bravo,2.92,0.33,0.08,0.58,0,0.17
28,,Enes Ünal,0,0.14,0,1.03,0,0.17
29,,Gerard Piqué,0,0.5,0,0,0,0
30,,Thibaut Courtois,2.9,0.32,0.16,0.9,0.03,0.03
31,,Gerard Gumbau,0,0.09,0,1.34,0,0.2
32,,Aurélien Tchouaméni,0,0.15,0,0.82,0,0
33,,Kang-in Lee,0,0.08,0,0.75,0,0.14
34,,Lucas Robertone,0,0.05,0,1.19,0,0.08
35,,Mikel Merino,0,0.24,0,0.76,0,0.18
36,,Rodrygo,0,0.12,0,0.76,0,0.03
37,,David López,0,0.05,0,1.15,0,0.05
38,,Jules Koundé,0,0.62,0,0.31,0,0.1
39,,Jorge Pascual,0,0,0,0,0,0
40,,Alvaro Aceves Catalina,3,0,0,0,0,0
41,,Giovani Lo Celso,0,0,0,0.55,0,0
42,,Joselu,0,0.15,0,1.62,0,0.18
43,,Moi Gómez,0,0.15,0,0.7,0,0.12
44,,Antonio Raíllo,0,0.32,0,0.84,0,0.16
45,,Guido Rodríguez,0,0.29,0,0.82,0,0.12
46,,Carlos Soler,0,0,0,0,0,0.67
47,,Aitor Fernández,2.81,0.38,0,0.76,0,0.14
48,,Gonzalo Escalante,0,0.29,0,0.93,0,0
49,,Jordi Masip,3.75,0.29,0.32,1.43,0.11,0.07
50,,Loïc Badé,0,0.37,0,0.74,0,0.11
51,,Vinícius Júnior,0,0.15,0,0.94,0,0.03
52,,Andreas Christensen,0,0.35,0,0.52,0,0.04
53,,Brais Méndez,0,0.09,0,0.62,0,0.12
54,,Pau Torres,0,0.29,0,0.97,0,0.06
55,,Isi Palazón,0,0.05,0,1.11,0,0.11
56,,Takefusa Kubo,0,0.11,0,0.49,0,0.11
57,,Lucas Vázquez,0,0.09,0,0.48,0,0.04
58,,Ronald Araújo,0,0.55,0,0.23,0,0
59,,Nicolas Jackson,0,0.04,0,0.62,0,0.08
60,,Reinildo Mandava,0,0.36,0,0.68,0,0.09
61,,Marcos Acuña,0,0.03,0,0.9,0,0.23
62,,Vedat Muriqi,0,0.11,0,0.89,0,0.11
63,,Viktor Tsygankov,0,0.05,0,0.84,0,0.16
64,,Juan Foyth,0,0.17,0,1,0,0
65,,David Silva,0,0,0,0.61,0,0.14
66,,Carlos García,0,0,0,0,0,0
67,,Marko Dmitrović,2.93,0.33,0,0.6,0,0.27
68,,Iñigo Martínez,0,0.27,0,1,0,0.07
69,,Iker Muniain,0,0.07,0,0.57,0,0.03
70,,Álex Remiro,2.63,0.39,0.05,0.76,0.03,0.16
71,,Álvaro García,0,0.09,0,1.06,0,0.11
72,,Sergio Canales,0,0.19,0,0.74,0,0.16
73,,Édgar Badía,3.86,0.11,0.28,1.53,0.06,0.22
74,,Marcos Llorente,0,0.23,0,0.45,0,0.05
75,,Geoffrey Kondogbia,0,0.1,0,0.45,0,0.05
76,,Juan Miranda,0,0.24,0,0.81,0,0.05
77,,João Félix,0,0,0,0.5,0,0.07
78,,David Soria,3.26,0.34,0.21,1,0.11,0.18
79,,Yeray Álvarez,0,0.32,0,1,0,0.07
80,,Yuri Berchiche,0,0.28,0,1,0,0.1
81,,Gabri Veiga,0,0,0,0.75,0,0.08
82,,Nemanja Gudelj,0,0.21,0,1.06,0,0.29
83,,Gerard Moreno,0,0.14,0,0.43,0,0
84,,Iza Carcelén,0,0.3,0,0.78,0,0.07
85,,Luka Modrić,0,0.06,0,0.58,0,0.03
86,,José Copete,0,0.32,0,0.82,0,0.11
87,,Luis Milla,0,0.19,0,0.7,0,0.07
88,,Raúl Albiol,0,0.32,0,0.84,0,0.08
89,,André Almeida,0,0.12,0,0.88,0,0.06
90,,Mario Hermoso,0,0.31,0,0.65,0,0.08
91,,Anuar,0,0,0,1.67,0,0
92,,Héctor Bellerín,0,0.33,0,0,0,0
93,,David García,0,0.25,0,0.94,0,0.16
94,,Rui Silva,2.81,0.35,0.08,1,0,0.23
95,,Sergi Roberto,0,0.09,0,0.35,0,0.09
96,,Dani Ceballos,0,0.07,0,0.47,0,0
97,,Suso,0,0.04,0,0.48,0,0.12
98,,William Carvalho,0,0.18,0,0.61,0,0.12
99,,Jan Oblak,2.18,0.39,0.07,0.61,0,0.11
100,,Robin Le Normand,0,0.39,0,0.73,0,0.03
101,,Adrián Embarba,0,0,0,0.87,0,0.07
102,,Fernando Martínez,3.59,0.11,0.16,1.51,0.03,0.14
103,,Eric García,0,0.29,0,0.33,0,0.08
104,,Ivo Grbić,3,0.08,0.25,0.92,0,0.08
105,,Alejandro Baena,0,0.09,0,0.63,0,0.03
106,,Alex Collado,0,0,0,1.07,0,0.07
107,,Omar Mascarell,0,0.04,0,1.61,0,0.25
108,,Samuel Chukwueze,0,0.05,0,0.86,0,0.03
109,,Unai Núñez,0,0.25,0,1.08,0,0.25
110,,José Gragera,0,0.11,0,0.67,0,0
111,,Eray Cömert,0,0.09,0,0.87,0,0.09
112,,Martín Zubimendi,0,0.33,0,0.78,0,0.17
113,,Monchu,0,0.06,0,1.06,0,0.18
114,,Álvaro Aguado,0,0.03,0,0.94,0,0.12
115,,Alejandro Catena,0,0.23,0,1.23,0,0.14
116,,Youssouf Sabaly,0,0.3,0,0.61,0,0.17
117,,Luis Hernández,0,0.31,0,1.11,0,0.2
118,,Fernando Medrano,0,0,0,0,0,0
119,,Paulo Gazzaniga,3.32,0.14,0.21,1.21,0.04,0.11
120,,Germán Pezzella,0,0.29,0,0.77,0,0.13
121,,Marcos Alonso,0,0.17,0,0.42,0,0.04
122,,Aridane Hernández,0,0.26,0,0.96,0,0.13
123,,Álex Berenguer,0,0,0,0.84,0,0.05
124,,Álvaro Morata,0,0.03,0,0.25,0,0.03
125,,Iñaki Williams,0,0.06,0,0.92,0,0.06
126,,Thierry Correia,0,0.11,0,0.85,0,0.11
127,,Mauro Arambarri,0,0.23,0,1.08,0,0.31
128,,Samuel Lino,0,0.08,0,0.87,0,0.13
129,,Oriol Romeu,0,0.12,0,1.24,0,0.18
130,,Cyle Larin,0,0.16,0,1.21,0,0.16
131,,Edu Expósito,0,0,0,0.89,0,0.04
132,,Alejandro Balde,0,0.42,0,0.39,0,0.06
133,,Martin Valjent,0,0.37,0,0.97,0,0.13
134,,Ante Budimir,0,0.06,0,0.55,0,0.06
135,,Lázaro,0,0.05,0,0.63,0,0.05
136,,Predrag Rajković,2.61,0.33,0.19,0.97,0.03,0.14
137,,Koke,0,0.09,0,0.64,0,0.09
138,,Yéremy Pino,0,0.08,0,0.81,0,0.06
139,,Gavi,0,0.33,0,0.25,0,0.06
140,,Nahuel Molina,0,0.27,0,0.73,0,0.12
141,,Mouctar Diakhaby,0,0.14,0,0.83,0,0.17
142,,Borja Iglesias,0,0.03,0,0.57,0,0.11
143,,Santiago Bueno,0,0.12,0,1.24,0,0.18
144,,Eduardo Camavinga,0,0.19,0,0.41,0,0.03
145,,Igor Zubeldia,0,0.29,0,0.74,0,0.1
146,,Aïssa Mandi,0,0.19,0,0.81,0,0
147,,Diego Rico,0,0.25,0,0.65,0,0.05
148,,Ivan Rakitić,0,0.1,0,0.65,0,0.16
149,,Étienne Capoue,0,0.14,0,0.89,0,0.04
150,,Stefan Savić,0,0.32,0,0.64,0,0.14
151,,Chimy Ávila,0,0.03,0,0.55,0,0.03
152,,David Alaba,0,0.17,0,0.78,0,0
153,,Memphis Depay,0,0,0,0.1,0,0
154,,Pepe Reina,2.77,0.23,0.18,1.23,0,0
155,,Sergio Herrera,2.88,0.18,0.24,1.24,0.06,0.12
156,,Mikel Vesga,0,0.22,0,0.81,0,0.03
157,,Antonio Rüdiger,0,0.3,0,0.73,0,0.03
158,,Chris Ramos,0,0.07,0,0.53,0,0.13
159,,Iñigo Ruiz de Galarreta,0,0.2,0,0.67,0,0.17
160,,Joseph Aidoo,0,0.26,0,1.09,0,0.29
161,,Javi Galán,0,0.27,0,1.05,0,0.27
162,,Brian Oliván,0,0.1,0,1.33,0,0.13
163,,Hugo Mallo,0,0.19,0,1.04,0,0.27
164,,Jose Antonio de la Rosa,0,0,0,0.5,0,0
165,,Rober González,0,0,0,0,0,0
166,,Sergio Camello,0,0,0,0.92,0,0.08
167,,Daniel Vivian,0,0.28,0,0.76,0,0.07
168,,Yannick Carrasco,0,0,0,0.69,0,0.03
169,,Fernando,0,0.09,0,0.86,0,0.09
170,,Víctor Ruiz,0,0.1,0,0.5,0,0.3
171,,Óscar Rodríguez,0,0.03,0,0.67,0,0.27
172,,Thomas Lemar,0,0,0,0.3,0,0.07
173,,Marcão,0,0.2,0,0.6,0,0.4
174,,Vinícius Souza,0,0.12,0,1.24,0,0.15
175,,Nacho Fernández,0,0.26,0,0.48,0,0.04
176,,Rodri Sánchez,0,0.03,0,0.37,0,0.13
177,,Nabil Fekir,0,0.07,0,0.53,0,0.13
178,,Jon Ander Olasagasti,0,0,0,0,0,0
179,,Diego Lopez,0,0,0,0.6,0,0
180,,Fernando Pacheco,3.47,0.18,0.29,1.88,0.06,0.18
181,,Valentin Castellanos,0,0,0,1.03,0,0.14
182,,Alfonso Espino,0,0.33,0,0.97,0,0.22
183,,Ansu Fati,0,0.03,0,0.11,0,0.03
184,,Jawad El Yamiq,0,0.08,0,1.12,0,0.2
185,,Giorgi Mamardashvili,2.76,0.18,0.13,1.05,0,0.13
186,,Gorka Guruzeta,0,0,0,0.5,0,0.03
187,,Raúl de Tomás,0,0,0,0.58,0,0.11
188,,Papu Gómez,0,0.05,0,0.58,0,0.21
189,,Rubén García,0,0,0,0.34,0,0.1
190,,Santi Comesaña,0,0.06,0,0.86,0,0.09
191,,Andrés Guardado,0,0.12,0,0.69,0,0.19
192,,Álex Moreno,0,0.4,0,0.47,0,0.4
193,,Franco Cervi,0,0.06,0,0.78,0,0.25
194,,Samu Castillejo,0,0,0,0.48,0,0.12
195,,Andriy Lunin,1.71,0.43,0,1,0,0
196,,Oihan Sancet,0,0.03,0,0.78,0,0.03
197,,Manu Morlanes,0,0,0,0.69,0,0.13
198,,Sergio Escudero,0,0.13,0,0.87,0,0.04
199,,Cenk Özkaçar,0,0.24,0,1,0,0.06
200,,Julen Agirrezabala,1.63,0.25,0,0.75,0,0
201,,El Bilal Touré,0,0,0,1,0,0.1
202,,Justin Kluivert,0,0,0,0.77,0,0.04
203,,Kiko Femenía,0,0.1,0,0.6,0,0.1
204,,Iván Sánchez,0,0,0,0.64,0,0.12
205,,Saúl Ñíguez,0,0.03,0,0.35,0,0.1
206,,Pablo Maffeo,0,0.26,0,1.03,0,0.11
207,,Nico Williams,0,0.14,0,0.78,0,0.06
208,,Kike Pérez,0,0.11,0,1.14,0,0.08
209,,Jesús Corona,0,0,0,0.5,0,0
210,,Alexander Isak,0,0,0,1.5,0,0
211,,Isco,0,0,0,1.17,0,0
212,,Jorge Cuenca,0,0.1,0,0.7,0,0
213,,Álvaro Odriozola,0,0,0,0,0,0
214,,Federico Fernández,0,0,0,0,0,2
215,,Dominik Greif,5,0,0,3,0,0
216,,Kike Barja,0,0.04,0,0.63,0,0.04
217,,Dani García,0,0.04,0,0.72,0,0.04
218,,Óscar de Marcos,0,0.19,0,0.89,0,0.03
219,,Jon Moncayola,0,0.05,0,0.86,0,0.11
220,,Ferran Torres,0,0.12,0,0.33,0,0
221,,Youssef En-Nesyri,0,0.06,0,0.58,0,0.13
222,,Omar Alderete,0,0.2,0,0.84,0,0.12
223,,Rodrigo Ely,0,0.08,0,1.56,0,0.14
224,,Luiz Felipe,0,0.22,0,0.83,0,0.17
225,,Arnau Martínez,0,0.06,0,1.3,0,0.18
226,,Samuel Costa,0,0.03,0,1.38,0,0.09
227,,Gabriel Paulista,0,0.05,0,1,0,0.14
228,,Unai Simón,2.26,0.29,0.1,1.1,0,0.1
229,,Álvaro Negredo,0,0,0,0.76,0,0.05
230,,Hugo Guillamón,0,0.16,0,0.76,0,0.16
231,,Pere Milla,0,0,0,1.23,0,0.19
232,,Fran García,0,0.24,0,1.26,0,0.13
233,,Kike Salas,0,0,0,0.67,0,0.17
234,,Paul Akouokou,0,0.08,0,0.25,0,0.25
235,,Javi Sánchez,0,0.16,0,1.25,0,0.09
236,,Álvaro Rodríguez,0,0,0,0.33,0,0
237,,Alfonso Pedraza,0,0.23,0,0.58,0,0
238,,Lucas Pérez,0,0.14,0,0.79,0,0.21
239,,Luis Pérez,0,0.17,0,1.44,0,0.17
240,,Domingos Duarte,0,0.26,0,1.1,0,0.19
241,,Jon Pacheco,0,0.24,0,0.47,0,0.29
242,,Ander Guevara,0,0,0,0.13,0,0
243,,Joaquín Fernández,0,0.19,0,1.37,0,0.19
244,,Asier Illarramendi,0,0.08,0,0.17,0,0.04
245,,Óscar Plano,0,0.03,0,0.88,0,0.12
246,,Lucas Torró,0,0.24,0,0.7,0,0.06
247,,Nemanja Maksimović,0,0.1,0,0.79,0,0.1
248,,Fran Beltrán,0,0.11,0,0.97,0,0.25
249,,Edinson Cavani,0,0,0,0.52,0,0.08
250,,Carlos Clerc,0,0.13,0,1.28,0,0.28
251,,Selim Amallah,0,0,0,0.57,0,0
252,,Axel Witsel,0,0.15,0,0.73,0,0.09
253,,Jesús Navas,0,0.09,0,0.72,0,0.13
254,,Daniel Carvajal,0,0.04,0,0.81,0,0
255,,Álex Sola,0,0.1,0,0.4,0,0.1
256,,Agustín Marchesín,2.32,0.32,0.21,1.05,0.11,0.47
257,,Zouhair Feddal,0,0,0,0.88,0,0
258,,Abdessamad Ezzalzouli,0,0,0,0.5,0,0.04
259,,Stole Dimitrievski,2.57,0.24,0.14,1.19,0,0.14
260,,Dani Rodríguez,0,0.06,0,0.69,0,0.06
261,,Juanmi Latasa,0,0.06,0,0.06,0,0
262,,Théo Bongonda,0,0.03,0,0.68,0,0.13
263,,Damián Suárez,0,0.18,0,0.64,0,0.07
264,,Munir El Haddadi,0,0,0,0.46,0,0.04
265,,Alexander Sørloth,0,0.03,0,0.41,0,0.18
266,,Léo Baptistão,0,0,0,0.96,0,0.11
267,,Joaquín,0,0,0,0.14,0,0
268,,Malcom Ares,0,0,0,0.38,0,0
269,,Curro,0,0,0,0.5,0,0.5
270,,Manu Bueno,0,0,0,0.5,0,1
271,,Jon Magunazelaia,0,0,0,1,0,0
272,,Williot Swedberg,0,0,0,0,0,0
273,,Lucas Rosa,0,0.06,0,0.88,0,0.12
274,,Yan Couto,0,0.04,0,0.56,0,0.04
275,,Ilaix Moriba,0,0,0,0.63,0,0.04
276,,Borja García,0,0,0,0.91,0,0.18
277,,Martin Braithwaite,0,0.06,0,1.35,0,0.13
278,,Íñigo Lekue,0,0.1,0,0.65,0,0.1
279,,Fali,0,0.16,0,0.84,0,0.16
