#,Team,Name,Saves,Clean sheets,Penalties faced,Goals conceded inside the box,Penalties saved,Goals conceded outside the box
280,,Joan Jordán,0,0.09,0,1,0,0.22
281,,Lucas Olaza,0,0.13,0,1,0,0.17
282,,Lisandro Magallán,0,0.14,0,0.79,0,0
283,,Óscar Valentín,0,0.09,0,0.82,0,0.15
284,,Ángel Correa,0,0.03,0,0.37,0,0.06
285,,Lucas Boyé,0,0.03,0,1.14,0,0.2
286,,Tete Morente,0,0.09,0,0.91,0,0.13
287,,Florian Lejeune,0,0.26,0,1.1,0,0.1
288,,Ramón Terrats,0,0,0,0.5,0,0
289,,Ander Barrenetxea,0,0,0,0.17,0,0.04
290,,Luis Javier Suárez,0,0,0,1.29,0,0.05
291,,Andoni Gorosabel,0,0.11,0,0.59,0,0.11
292,,Felipe,0,0,0,1,0,0
293,,Javier Hernández,0,0.04,0,0.72,0,0.04
294,,Lucas Ocampos,0,0.16,0,0.89,0,0.16
295,,Fernando Calero,0,0.07,0,0.93,0,0.15
296,,Gonzalo Melero,0,0,0,0.93,0,0.11
297,,Manu Vallejo,0,0,0,0.71,0,0
298,,Nicolás González,0,0.04,0,0.73,0,0.08
299,,Álex Centelles,0,0.07,0,1.27,0,0.07
300,,Cristhian Stuani,0,0,0,0.44,0,0.06
301,,Jørgen Strand Larsen,0,0,0,0.81,0,0.19
302,,Francis Coquelin,0,0,0,0.38,0,0
303,,Juan Iglesias,0,0.19,0,0.81,0,0.19
304,,Aitor Ruibal,0,0.12,0,0.42,0,0.08
305,,Leandro Cabrera,0,0.13,0,1.56,0,0.13
306,,Mohamed-Ali Cho,0,0,0,0.42,0,0.05
307,,Sergi Gómez,0,0.1,0,1.45,0,0.14
308,,Srđan Babić,0,0.12,0,1.53,0,0.12
309,,Umar Sadiq,0,0,0,0.6,0,0
310,,Jorge Meré,0,0.1,0,0.9,0,0.1
311,,Rubén Alcaraz,0,0.13,0,0.74,0,0.1
312,,Óliver Torres,0,0.03,0,0.78,0,0.19
313,,Alex Telles,0,0,0,0.78,0,0.11
314,,Ayoze Pérez,0,0.11,0,0.79,0,0.11
315,,Carles Pérez,0,0.06,0,0.66,0,0.09
316,,Ronaël Pierre-Gabriel,0,0,0,0.5,0,0.13
317,,Giovanni González,0,0.2,0,0.33,0,0.13
318,,Aimar Oroz,0,0.03,0,0.68,0,0.1
319,,Miguel Gutiérrez,0,0.03,0,0.91,0,0.15
320,,José Luis Morales,0,0.03,0,0.38,0,0
321,,Roque Mesa,0,0.03,0,0.76,0,0.03
322,,José Ángel Carmona,0,0,0,0.89,0,0.21
323,,Yangel Herrera,0,0,0,0.85,0,0.1
324,,Unai García,0,0.24,0,0.81,0,0.1
325,,Jaume Costa,0,0.28,0,0.91,0,0.09
326,,Ander Herrera,0,0,0,0.47,0,0.12
327,,Stefan Mitrović,0,0.32,0,0.64,0,0.14
328,,Edgar González,0,0.2,0,0.64,0,0.16
329,,Álex Fernández,0,0.11,0,0.79,0,0.14
330,,Sergi Guardiola,0,0,0,0.48,0,0.03
331,,Rodrigo Riquelme,0,0,0,1.06,0,0.15
332,,Aitor Paredes,0,0,0,1,0,0.13
333,,Ivan Balliu,0,0.24,0,1.14,0,0.14
334,,Johan Mojica,0,0,0,0.8,0,0.05
335,,Pierre-Emerick Aubameyang,0,0,0,0,0,0
336,,Hugo Sotelo,0,0,0,0,0,0
337,,Carlos Domínguez,0,0,0,0.33,0,0
338,,Aleix Garrido,0,0,0,0,0,0
339,,Moi Parra,0,0,0,0,0,0
340,,Adnan Januzaj,0,0,0,0,0,0
341,,Franco Russo,0,0,0,0.67,0,0
342,,Iker Benito,0,0,0,0,0,0
343,,Kike García,0,0,0,0.43,0,0.09
344,,Unai López,0,0,0,0.56,0,0.03
345,,Óscar Mingueza,0,0.14,0,0.71,0,0.24
346,,Javi Puado,0,0,0,1.08,0,0.11
347,,Karim Rekik,0,0.19,0,0.88,0,0.13
348,,Tino Kadewere,0,0,0,0.4,0,0.07
349,,Sergio León,0,0.03,0,0.93,0,0.03
350,,Juan Cruz,0,0.22,0,0.89,0,0.11
351,,Darko Brašanac,0,0,0,0.4,0,0.16
352,,Matheus Cunha,0,0,0,0.45,0,0.09
353,,Darwin Machís,0,0.18,0,0.27,0,0
354,,Benjamin Lecomte,2.9,0.1,0,1.3,0,0.1
355,,Renato Tapia,0,0.04,0,0.82,0,0.18
356,,Haris Seferović,0,0,0,0.61,0,0
357,,Ferland Mendy,0,0.11,0,0.94,0,0
358,,Miguel Rodríguez,0,0,0,0.43,0,0.14
359,,Pedro Bigas,0,0.04,0,1.29,0,0.18
360,,César Montes,0,0.1,0,1.8,0,0.2
361,,Alejandro Pozo,0,0.1,0,0.87,0,0
362,,Bernardo Espinosa,0,0.05,0,1.1,0,0.2
363,,Bono,2.68,0.16,0.12,1.4,0.04,0.24
364,,Raúl García,0,0,0,0.31,0,0.06
365,,Willian José,0,0,0,0.32,0,0.07
366,,Íñigo Eguaras,0,0,0,0.72,0,0.04
367,,Dyego Sousa,0,0,0,0.25,0,0.05
368,,Iván Villar,2,0.21,0.21,1.21,0,0.05
369,,Matija Nastasić,0,0.14,0,0.86,0,0.07
370,,Erik Lamela,0,0.06,0,0.75,0,0.16
371,,Rubén Peña,0,0.1,0,0.85,0,0
372,,Kasper Dolberg,0,0,0,0.5,0,0
373,,Toni Lato,0,0,0,0.42,0,0.04
374,,Borja Mayoral,0,0.06,0,0.97,0,0.17
375,,Gonzalo Plata,0,0.09,0,1,0,0.09
376,,Iván Fresneda,0,0.09,0,1.41,0,0.14
377,,Ruben Sanchez Saez,0,0,0,1.28,0,0.11
378,,Franck Kessié,0,0,0,0.21,0,0.04
379,,César de la Hoz,0,0.08,0,1.08,0,0.12
380,,Luiz Henrique,0,0,0,0.55,0,0.21
381,,Juan Cala,0,0,0,0.67,0,0.33
382,,Francisco Portillo,0,0,0,0.56,0,0.04
383,,Alberto Moreno,0,0.04,0,0.58,0,0.04
384,,Josan,0,0.08,0,0.65,0,0.04
385,,Manuel Sánchez,0,0.19,0,0.77,0,0.06
386,,Arnaut Danjuma,0,0,0,0.5,0,0.2
387,,José Carlos Lazo,0,0,0,0.18,0,0.09
388,,Martin Hongla,0,0.19,0,1.38,0,0.19
389,,Ismaila Ciss,0,0.06,0,0.84,0,0
390,,Enzo Roco,0,0,0,1.45,0,0.18
391,,Álvaro Fernández,3.09,0.18,0,1.45,0,0.18
392,,Iván Martín,0,0.04,0,1,0,0.04
393,,Gonçalo Paciência,0,0,0,0.2,0,0.08
394,,Aihen Muñoz,0,0.3,0,0.7,0,0.22
395,,Djené,0,0.27,0,0.97,0,0.21
396,,Pape Gueye,0,0.19,0,1.06,0,0.25
397,,Luca Koleosho,0,0,0,0.25,0,0
398,,Clément Grenier,0,0,0,0.52,0,0
399,,Kaiky,0,0,0,0.92,0,0.08
400,,Haissem Hassan,0,0,0,0,0,0
401,,Alexander Callens,0,0,0,0,0,0
402,,Iddrisu Baba,0,0.14,0,0.76,0,0.07
403,,Rafa Mir,0,0.04,0,0.65,0,0.27
404,,Gastón Álvarez,0,0.23,0,0.59,0,0.09
405,,Mikel Oyarzabal,0,0.04,0,0.48,0,0.04
406,,Jaime Mata,0,0,0,0.17,0,0
407,,Marcos André,0,0,0,0.29,0,0.12
408,,Javier Guerra,0,0.1,0,0.6,0,0
409,,Pablo Marín,0,0,0,0.4,0,0
410,,Iker Munoz,0,0.13,0,0.5,0,0
411,,Pablo Barrios,0,0,0,0.33,0,0.1
412,,Dennis Hadžikadunić,0,0.13,0,1.38,0,0.13
413,,Rubén Sobrino,0,0.21,0,0.67,0,0.15
414,,Fidel,0,0,0,1,0,0.07
415,,Sergio Reguilón,0,0,0,0.09,0,0.09
416,,Cristhian Mosquera,0,0,0,0.67,0,0
417,,Carlos Martín,0,0,0,0.25,0,0
418,,Fede San Emeterio,0,0.03,0,0.55,0,0.15
419,,Víctor Chust,0,0.14,0,1.07,0,0.36
420,,Oier Zarraga,0,0,0,0.46,0,0.04
421,,Keidi Bare,0,0,0,0.5,0,0.17
422,,Helibelton Palacios,0,0.08,0,1.38,0,0.33
423,,Thomas Delaney,0,0,0,0.63,0,0.25
424,,Valery Fernández,0,0.04,0,0.52,0,0.04
425,,Bryan Gil,0,0.06,0,0.65,0,0.12
426,,Dimitri Foulquier,0,0.1,0,0.73,0,0.07
427,,Brian Ocampo,0,0.06,0,0.83,0,0.11
428,,Asier Villalibre,0,0,0,0,0,0
429,,Brian Cufré,0,0,0,0.2,0,0.2
430,,Reinier,0,0,0,0.44,0,0.06
431,,José Mari,0,0,0,0.39,0,0.06
432,,Tanguy Nianzou,0,0.11,0,1.26,0,0.16
433,,Pablo Torre,0,0,0,0.25,0,0
434,,Gonzalo Villar,0,0,0,0.31,0,0
435,,Largie Ramazani,0,0,0,0.91,0,0.03
436,,Mamadou Mbaye,0,0.14,0,1.14,0,0.07
437,,Portu,0,0.09,0,0.59,0,0.12
438,,Carlos Fernández,0,0,0,0.29,0,0.04
439,,Hugo Duro,0,0.07,0,0.67,0,0
440,,Óscar Trejo,0,0,0,0.79,0,0.15
441,,Juanpe,0,0.11,0,1.16,0,0.16
442,,Mariano Díaz,0,0,0,0.11,0,0
443,,Oscar Ureña,0,0,0,0.67,0,0
444,,Lago Júnior,0,0,0,0.4,0,0
445,,Francisco Mwepu,0,0,0,0,0,0
446,,Alberto Perea,0,0,0,1,0,0
447,,Roberto Torres,0,0,0,0,0,0
448,,Diego Collado,0,0,0,0,0,0
449,,Josep Gayá,0,0,0,1,0,0
450,,Ander Martín,0,0,0,0,0,0
451,,Anthony Lozano,0,0.07,0,0.54,0,0.14
452,,Juanmi,0,0.05,0,0.73,0,0.09
453,,Nacho Vidal,0,0.15,0,0.65,0,0.1
454,,Sergio Akieme,0,0.07,0,1.41,0,0.14
455,,Luca De La Torre,0,0,0,0.57,0,0.04
456,,Samu Sáiz,0,0,0,0.63,0,0
457,,Jon Morcillo,0,0,0,0.1,0,0
458,,Adrià Pedrosa,0,0,0,0.43,0,0
459,,Jon Karrikaburu,0,0,0,0.5,0,0
460,,Martín Montoya,0,0,0,1.33,0,0.33
461,,Alberto Mari,0,0,0,0,0,0
462,,Pablo Ibáñez Lumbreras,0,0,0,0.44,0,0.12
463,,Ricard Artero,0,0,0,0.14,0,0.14
464,,Sergio Asenjo,3.1,0.1,0.1,1.7,0,0.4
465,,Juan Carlos,2.6,0,0.2,1.5,0,0.3
466,,Gonzalo Montiel,0,0.04,0,0.75,0,0.25
467,,Randy Nteka,0,0,0,0.42,0,0.04
468,,Denis Suárez,0,0,0,1.17,0,0.11
469,,Nicolás Melamed,0,0.03,0,0.81,0,0.06
470,,Óscar Gil,0,0.12,0,1.27,0,0.18
471,,Jaime Seoane,0,0,0,0.31,0,0.19
472,,Aleix Vidal,0,0,0,0.64,0,0.12
473,,Yunus Musah,0,0.03,0,0.67,0,0.12
474,,Bebé,0,0,0,0.25,0,0
475,,Antonio Blanco,0,0,0,1.33,0,0.67
476,,Ezequiel Ponce,0,0,0,0.44,0,0.06
477,,Nicolás Fernández,0,0,0,0.5,0,0.06
478,,Arnau Puigmal,0,0,0,0.73,0,0.09
479,,Chumi,0,0.05,0,1.29,0,0.14
480,,Rodrigo Battaglia,0,0.13,0,0.4,0,0.07
481,,Carles Aleñá,0,0.06,0,0.6,0,0.17
482,,Andrés Martín,0,0,0,0.11,0,0
483,,Sergio Arribas,0,0,0,0.5,0,0
484,,Loren Morón,0,0,0,0,0,0
485,,Beñat Turrientes,0,0,0,0.17,0,0.17
486,,Ángel Rodríguez,0,0,0,0.29,0,0
487,,Roger Martí,0,0,0,0.69,0,0.12
488,,Abdón Prats,0,0,0,0.23,0,0.04
489,,Ángel Algobia,0,0.04,0,0.5,0,0.08
490,,Robert Navarro,0,0,0,0.35,0,0
491,,Salvi Sánchez,0,0,0,0.58,0,0.04
492,,Josep Chavarría,0,0,0,0.38,0,0.06
493,,Iván Alejo,0,0,0,0.71,0,0.13
494,,Manu Trigueros,0,0.09,0,0.35,0,0
495,,Juan Cruz,0,0,0,0.17,0,0.17
496,,Pol Lirola,0,0,0,1.17,0,0.25
497,,Eden Hazard,0,0,0,0.17,0,0
498,,Ander Capa,0,0,0,0,0,0
499,,Diego Moreno,0,0.09,0,0.64,0,0.18
500,,Jesús Vázquez,0,0,0,0.4,0,0.1
501,,Aritz Elustondo,0,0.2,0,0.4,0,0.16
502,,Toni Villa,0,0,0,0.5,0,0
503,,Joel Roca Casals,0,0,0,0,0,0
504,,Omar El Hilali,0,0,0,0.4,0,0
505,,Shon Weissman,0,0,0,0.87,0,0
506,,Abdul Mumin,0,0.06,0,0.94,0,0.13
507,,Radamel Falcao,0,0,0,0.3,0,0.04
508,,Lautaro Blanco,0,0,0,0.82,0,0.12
509,,Augusto Solari,0,0,0,0.25,0,0
510,,Jesús Vallejo,0,0,0,0,0,0
511,,Mamady Diarra,0,0,0,0.5,0,0
512,,Roger Martínez,0,0,0,1,0,0
513,,Casemiro,0,0,0,0,0,0
514,,Nabil Touaizi,0,0,0,0,0,0
515,,Carlos Álvarez,0,0,0,1,0,0
516,,Iván Romero,0,0,0,0,0,0
517,,Diego Mariño,3,0,0,2,0,0
518,,Babatunde Akinsola,0,0,0,1,0,0
519,,Javi Llabrés,0,0,0,0,0,0
520,,Alberto del Moral,0,0,0,0,0,0
521,,Roberto Arroyo,0,0,0,1,0,0
522,,Fran Delgado,0,0,0,0,0,0
523,,Matt Doherty,0,0,0,0,0,0
524,,Pablo Durán,0,0,0,0.25,0,0
525,,Raúl Parra,0,0,0,0.5,0,0
526,,Kevin Vázquez,0,0.1,0,0.8,0,0
527,,Joseba Zaldúa,0,0,0,1.4,0,0.3
528,,Raúl Guti,0,0,0,0.75,0,0.14
529,,Diego González,0,0,0,1.19,0,0.25
530,,Tomás Alarcón,0,0,0,1.25,0,0.5
531,,Pol Lozano,0,0,0,0,0,0.25
532,,Amath Ndiaye,0,0.04,0,0.43,0,0.07
533,,Dani Gómez,0,0,0,0,0,0.13
534,,José Pozo,0,0,0,0.38,0,0
535,,Unai Vencedor,0,0,0,0.6,0,0.1
536,,Fernando Niño,0,0,0,0,0,0
537,,Mikel Balenziaga,0,0,0,1,0,0
538,,David Torres,0,0,0,1.14,0,0
539,,Kenedy,0,0,0,0.67,0,0.08
540,,Antonio Sánchez,0,0,0,0.53,0,0.06
541,,Juan Narváez,0,0,0,0.8,0,0
542,,Youba Diarra,0,0,0,1,0,0
543,,Maximiliano Gómez,0,0,0,0,0,0.33
544,,Ludwig Augustinsson,0,0,0,1,0,0
545,,John Nwankwo,0,0.21,0,0.86,0,0.14
546,,Awer Mabil,0,0,0,1.2,0,0
547,,Jordan Amavi,0,0,0,0.4,0,0
548,,Mickaël Malsa,0,0,0,0.4,0,0
549,,Abner Vinícius,0,0,0,0.69,0,0.08
550,,Sekou Gassama,0,0,0,0,0,2
551,,Fabrizio Angileri,0,0,0,0.73,0,0.27
552,,Ángel Alarcón,0,0,0,0,0,0
553,,Marko Milovanović,0,0,0,0.5,0,0
554,,Mamadou Fall,0,0,0,0,0,0
555,,Axel Werner,2.5,0,0,1.5,0,0.5
556,,Álvaro Giménez,0,0,0,0,0,0.5
557,,Gonzalo Verdú,0,0,0,0.63,0,0.13
558,,Wassim Keddari,0,0,0,0.71,0,0.14
559,,Domingos Quina,0,0,0,0.7,0,0.1
560,,Filip Jörgensen,1.5,0,0,1.5,0,0
561,,Mario Suárez,0,0,0,0.5,0,0
562,,Fran Pérez,0,0,0,0.43,0,0
563,,Javier Pastore,0,0,0,0,0,0
564,,Pablo Muñoz,0,0,0,0,0,0
565,,Santiago Arzamendia,0,0,0,1.17,0,0.08
566,,Pape Cheikh,0,0,0,0.5,0,0
567,,Houboulang Mendes,0,0,0,1.79,0,0.21
568,,Lamine Yamal,0,0,0,0,0,0
569,,Antonio Gomis,0,0,0,1,0,0
570,,Alejandro Alfaro,0,0,0,0,0,0
571,,Iñaki Peña,1,0,0,0.5,0,0.5
572,,Mario Hernández,0,0,0,1,0,0
573,,Diego Hormigo,0,0,0,0,0,1
574,,Joan García,1,0,1,3,0,0
575,,Diego López,0.5,0,0,2,0,0
576,,Jorge Herrando,0,0,0,0,0,0
577,,Chadi Riad,0,0,0,0,0,0
578,,Pedro Ortiz,0,0,0,0,0,0
579,,Esteban Saveljich,0,0,0,0,0,0
580,,Diego Mendez,0,0,0,0,0,0
581,,Ruben Quintanilla,0,0,0,0,0,0
582,,Álex Revuelta,0,0,0,0,0,0
